Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
46,1,6,3,3,5,1,0,2,0,0,24396,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
54,2,25,2,3,4,3,0,3,1,0,25725,Self Enquiry,Small Business,Male,Standard,Divorced,Senior Manager
56,1,15,2,3,3,1,0,4,0,0,26103,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
30,1,10,2,3,3,19,1,4,1,1,17285,Company Invited,Large Business,Male,Basic,Single,Executive
26,1,6,3,3,5,1,0,5,1,2,17867,Self Enquiry,Small Business,Male,Basic,Single,Executive
33,1,13,2,3,3,1,0,4,1,0,26691,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
24,1,23,3,4,4,2,0,3,1,1,17127,Self Enquiry,Salaried,Male,Basic,Married,Executive
30,1,36,4,6,3,2,0,5,1,3,25062,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
33,3,8,3,3,4,1,0,1,0,0,20147,Company Invited,Small Business,Female,Deluxe,Single,Manager
53,3,8,2,4,4,3,0,1,1,0,22525,Company Invited,Small Business,Female,Standard,Married,Senior Manager
29,3,14,3,4,5,2,0,3,1,2,23576,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
39,1,15,2,3,5,2,0,4,1,0,20151,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
46,3,9,4,4,4,2,0,5,1,3,23483,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
35,1,14,3,4,4,2,0,3,1,1,30672,Self Enquiry,Salaried,Female,Standard,Single,Senior Manager
35,3,9,4,4,3,8,0,5,0,1,20909,Company Invited,Small Business,Female,Basic,Married,Executive
33,1,7,4,5,4,8,0,3,0,3,21010,Company Invited,Salaried,Female,Basic,Married,Executive
29,1,16,2,4,3,2,0,4,1,0,21623,Company Invited,Salaried,Female,Basic,Unmarried,Executive
41,3,16,2,3,3,1,0,1,0,1,21230,Company Invited,Salaried,Male,Deluxe,Single,Manager
43,1,36,3,6,3,6,0,3,1,1,22950,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
35,3,13,3,6,3,2,0,4,0,2,21029,Company Invited,Small Business,Female,Basic,Married,Executive
41,3,12,3,3,3,4,1,1,0,0,28591,Self Enquiry,Salaried,Female,Standard,Single,Senior Manager
33,1,6,2,4,3,1,0,4,0,0,21949,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
40,1,15,2,3,3,1,0,4,0,0,28499,Company Invited,Small Business,Fe Male,Standard,Unmarried,Senior Manager
26,1,9,3,3,5,1,0,3,0,1,18102,Company Invited,Large Business,Male,Basic,Single,Executive
41,1,25,2,3,5,3,0,1,0,0,18072,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
37,1,17,2,3,3,2,1,3,0,1,27185,Company Invited,Salaried,Male,Standard,Married,Senior Manager
31,3,13,2,4,3,4,0,4,1,1,17329,Self Enquiry,Salaried,Male,Basic,Married,Executive
45,3,8,3,6,4,8,0,3,0,2,21040,Self Enquiry,Salaried,Male,Deluxe,Single,Manager
33,1,9,3,3,5,2,1,5,1,2,18348,Company Invited,Salaried,Male,Basic,Single,Executive
33,1,9,4,4,4,3,0,4,0,1,21048,Self Enquiry,Small Business,Female,Basic,Divorced,Executive
33,1,14,3,3,3,3,1,3,0,2,21388,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
30,3,18,2,3,3,1,0,2,1,0,21577,Self Enquiry,Large Business,Female,Deluxe,Unmarried,Manager
42,1,25,2,2,3,7,1,3,1,1,17759,Company Invited,Small Business,Male,Basic,Married,Executive
46,1,8,2,3,3,7,0,5,1,0,32861,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
51,1,16,4,4,3,6,0,5,1,3,21058,Self Enquiry,Salaried,Male,Basic,Married,Executive
30,1,8,2,5,3,3,0,1,1,0,21091,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
37,1,25,3,3,3,6,0,5,0,1,22366,Company Invited,Salaried,Male,Basic,Divorced,Executive
28,2,6,2,3,3,2,0,4,0,1,17706,Company Invited,Salaried,Male,Basic,Married,Executive
42,1,12,2,3,5,1,0,3,1,0,28348,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
44,1,10,2,3,4,1,0,2,1,0,20933,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
39,1,9,3,5,4,3,0,1,1,1,21118,Company Invited,Small Business,Female,Basic,Single,Executive
42,1,23,2,2,5,4,1,2,0,0,21545,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
39,1,28,2,3,5,2,1,5,1,1,25880,Company Invited,Small Business,Fe Male,Standard,Unmarried,Senior Manager
28,1,6,2,5,3,1,0,3,1,0,21674,Company Invited,Salaried,Female,Deluxe,Divorced,Manager
43,1,20,3,3,5,7,0,5,1,1,32159,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
45,1,22,4,4,3,3,0,3,0,2,26656,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
53,1,13,4,4,5,5,1,4,1,2,24255,Self Enquiry,Large Business,Male,Deluxe,Married,Manager
42,1,16,4,4,5,4,0,1,0,1,20916,Self Enquiry,Salaried,Male,Basic,Married,Executive
36,1,33,3,3,3,7,0,3,1,0,20237,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
22,1,7,4,5,4,3,1,5,0,3,20748,Self Enquiry,Large Business,Female,Basic,Single,Executive
37,1,12,4,4,4,2,0,2,0,3,24592,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
30,3,20,3,4,4,7,0,3,0,2,24443,Company Invited,Large Business,Fe Male,Deluxe,Unmarried,Manager
36,1,18,4,5,5,4,1,5,1,3,28562,Company Invited,Small Business,Male,Standard,Married,Senior Manager
40,1,10,2,3,3,2,0,5,0,1,34033,Self Enquiry,Small Business,Female,King,Divorced,VP
51,1,14,2,5,3,3,0,2,0,1,25650,Company Invited,Salaried,Male,Standard,Unmarried,Senior Manager
39,3,7,3,5,5,6,0,3,0,2,21536,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
43,1,18,2,4,4,2,0,3,0,1,29336,Self Enquiry,Salaried,Male,Super Deluxe,Married,AVP
35,1,10,3,3,3,2,0,4,0,0,16951,Self Enquiry,Salaried,Male,Basic,Married,Executive
40,1,9,4,4,3,2,0,2,1,2,29616,Company Invited,Large Business,Female,Standard,Single,Senior Manager
27,3,17,3,4,3,3,0,1,0,1,23362,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
26,1,8,2,3,5,7,1,5,1,0,17042,Company Invited,Salaried,Male,Basic,Divorced,Executive
43,3,32,3,3,3,2,1,2,0,0,31959,Company Invited,Salaried,Male,Super Deluxe,Divorced,AVP
32,1,18,4,4,5,3,1,2,0,3,25511,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
35,1,12,3,5,5,4,0,2,0,1,30309,Self Enquiry,Small Business,Female,Standard,Single,Senior Manager
34,1,11,3,5,4,8,0,4,0,2,21300,Self Enquiry,Small Business,Female,Basic,Married,Executive
31,1,14,2,4,4,2,0,4,0,1,16261,Self Enquiry,Salaried,Female,Basic,Single,Executive
35,3,16,4,4,3,3,0,1,0,1,24392,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
42,3,16,3,6,3,2,0,5,1,2,24829,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
34,1,14,2,3,5,4,0,5,1,1,20121,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
34,1,9,3,4,5,2,0,3,1,1,21385,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
34,1,13,2,3,4,1,0,3,1,0,26994,Self Enquiry,Salaried,Fe Male,Standard,Unmarried,Senior Manager
39,1,36,3,4,3,5,0,2,0,2,24939,Self Enquiry,Large Business,Male,Deluxe,Divorced,Manager
29,1,12,3,4,3,3,1,1,0,1,22119,Self Enquiry,Large Business,Male,Basic,Unmarried,Executive
35,1,8,2,3,3,3,0,3,0,1,20762,Company Invited,Small Business,Male,Deluxe,Married,Manager
26,3,10,2,4,3,2,1,2,1,1,20828,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
37,1,10,3,4,3,7,0,2,1,1,21513,Self Enquiry,Salaried,Female,Basic,Married,Executive
35,1,16,4,4,5,6,0,3,0,2,24024,Company Invited,Salaried,Male,Deluxe,Married,Manager
40,1,9,3,4,3,2,0,3,1,1,30847,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
33,3,11,2,3,3,2,1,2,1,0,17851,Self Enquiry,Small Business,Female,Basic,Single,Executive
38,3,15,3,4,4,1,0,4,0,0,17899,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
33,1,20,4,5,4,3,0,5,1,1,21421,Company Invited,Salaried,Female,Basic,Married,Executive
29,1,6,2,4,5,2,1,2,0,0,17319,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
34,1,14,3,4,3,2,0,4,1,1,30369,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
36,3,24,4,4,5,5,1,3,1,2,27644,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
23,3,8,3,3,5,4,0,3,1,1,17322,Self Enquiry,Large Business,Male,Basic,Married,Executive
61,1,14,3,4,5,7,0,5,0,1,38244,Self Enquiry,Salaried,Female,King,Divorced,VP
55,3,8,2,4,3,1,0,5,0,0,28577,Company Invited,Salaried,Fe Male,Basic,Single,Executive
61,3,35,4,5,5,6,0,2,1,1,28944,Company Invited,Small Business,Female,Standard,Divorced,Senior Manager
28,3,7,4,4,4,2,1,1,0,2,25027,Company Invited,Small Business,Male,Deluxe,Married,Manager
36,1,17,3,4,4,2,0,4,1,1,21499,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
41,3,35,3,6,5,5,0,5,1,1,29610,Company Invited,Salaried,Male,Standard,Married,Senior Manager
33,1,9,4,3,3,2,0,3,1,3,23733,Self Enquiry,Small Business,Fe Male,Deluxe,Unmarried,Manager
40,1,8,2,4,3,3,0,5,0,1,17809,Self Enquiry,Salaried,Male,Basic,Single,Executive
31,1,10,3,4,3,6,0,3,0,2,20775,Company Invited,Salaried,Male,Basic,Divorced,Executive
39,1,7,4,4,5,3,0,4,1,2,32260,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
28,1,30,3,4,5,2,0,1,1,1,23722,Company Invited,Large Business,Male,Standard,Unmarried,Senior Manager
30,1,9,4,4,4,2,0,5,0,3,21858,Company Invited,Salaried,Female,Basic,Divorced,Executive
52,1,31,2,4,3,4,0,5,0,1,28826,Company Invited,Small Business,Female,Super Deluxe,Divorced,AVP
22,3,19,3,3,4,3,0,5,0,2,21394,Self Enquiry,Salaried,Female,Basic,Unmarried,Executive
27,3,14,2,3,4,2,0,1,0,1,21214,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
45,1,17,4,4,3,3,1,3,1,1,21614,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
36,3,16,2,4,5,1,0,5,0,0,22094,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
43,1,13,2,3,5,1,0,5,1,0,24985,Self Enquiry,Salaried,Female,Standard,Divorced,Senior Manager
36,1,8,2,3,4,1,1,3,1,0,20410,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
55,1,20,3,2,4,1,0,2,0,2,33722,Self Enquiry,Small Business,Male,King,Single,VP
56,1,30,3,3,3,2,0,3,0,0,17587,Self Enquiry,Salaried,Male,Basic,Single,Executive
42,3,6,2,3,3,2,0,3,1,0,19907,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
34,3,14,3,3,5,6,0,1,1,2,21500,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
51,1,15,3,3,3,4,0,3,1,0,17075,Self Enquiry,Salaried,Male,Basic,Married,Executive
40,3,11,3,5,3,6,0,5,1,1,24580,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
53,1,26,3,4,3,2,0,3,1,1,22936,Company Invited,Small Business,Male,Basic,Divorced,Executive
50,1,27,4,4,5,3,0,2,1,3,25245,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
28,1,6,3,5,4,1,1,2,1,0,17216,Self Enquiry,Salaried,Female,Basic,Single,Executive
38,3,23,4,5,3,6,0,5,1,3,25012,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
49,1,26,3,3,5,2,0,1,1,0,21567,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
30,2,24,3,5,5,3,0,3,0,1,26666,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
32,1,11,3,2,4,1,1,2,1,0,18298,Self Enquiry,Salaried,Male,Basic,Married,Executive
31,1,7,3,6,3,5,0,4,1,1,22511,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
36,1,28,3,4,3,3,1,3,0,1,22692,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
18,3,11,3,3,4,2,1,4,1,2,16878,Company Invited,Small Business,Male,Basic,Single,Executive
42,1,8,2,4,5,1,1,4,1,1,17593,Self Enquiry,Small Business,Female,Basic,Married,Executive
25,3,17,4,4,3,3,1,1,0,1,22938,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
38,3,8,3,5,3,3,1,3,0,0,20405,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
29,1,22,3,4,3,3,0,4,1,2,20885,Self Enquiry,Salaried,Male,Basic,Married,Executive
29,1,24,4,4,5,3,0,1,0,2,23236,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
29,1,27,2,1,5,2,0,5,1,1,24980,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
39,1,16,3,3,5,2,1,3,1,2,32068,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
47,1,11,2,3,3,5,0,1,1,0,33300,Self Enquiry,Salaried,Male,King,Married,VP
61,3,23,3,4,5,2,0,4,1,1,24083,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
33,1,9,4,4,5,3,0,1,1,2,21117,Self Enquiry,Large Business,Male,Basic,Single,Executive
54,1,25,3,3,5,1,1,3,0,2,20485,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
42,3,10,2,3,5,1,0,5,1,0,20155,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
36,1,12,4,4,4,2,0,3,0,1,26773,Self Enquiry,Large Business,Male,Standard,Unmarried,Senior Manager
34,3,14,3,3,5,6,0,2,1,0,21500,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
27,1,32,3,6,3,3,0,2,1,2,20971,Self Enquiry,Salaried,Male,Basic,Single,Executive
46,3,8,2,3,5,4,0,1,1,1,33947,Self Enquiry,Small Business,Female,King,Single,VP
25,1,7,3,5,3,3,0,3,1,2,23295,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
24,1,19,4,4,3,3,0,5,1,1,21325,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
46,3,16,3,3,4,6,0,1,0,2,22314,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
44,3,15,3,4,5,4,0,1,1,2,34190,Self Enquiry,Salaried,Male,Basic,Married,Executive
31,1,15,2,4,5,1,1,3,1,0,17321,Company Invited,Small Business,Male,Basic,Single,Executive
41,3,10,2,3,4,2,0,3,1,0,24355,Company Invited,Small Business,Male,Deluxe,Unmarried,Manager
27,2,24,3,4,3,2,1,5,0,2,21419,Company Invited,Salaried,Female,Basic,Married,Executive
44,3,6,3,3,5,6,1,1,1,1,20454,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
33,3,20,4,4,3,4,0,2,0,1,23081,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
37,1,6,2,3,3,5,0,5,1,1,22491,Self Enquiry,Large Business,Female,Standard,Unmarried,Senior Manager
23,3,13,2,3,3,2,1,1,1,0,17275,Self Enquiry,Salaried,Male,Basic,Married,Executive
40,1,25,3,4,3,2,0,3,0,1,23212,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
25,1,16,3,4,5,4,1,3,0,2,21850,Company Invited,Small Business,Male,Basic,Unmarried,Executive
37,1,20,3,3,5,2,0,4,1,0,18034,Self Enquiry,Salaried,Female,Basic,Married,Executive
57,1,30,2,2,3,4,1,4,1,1,24439,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
34,1,15,2,4,4,2,0,1,1,0,23621,Self Enquiry,Small Business,Fe Male,Standard,Unmarried,Senior Manager
19,1,31,2,1,3,2,1,5,1,0,17994,Self Enquiry,Salaried,Female,Basic,Single,Executive
43,3,8,3,3,3,2,0,3,1,2,20675,Company Invited,Salaried,Male,Deluxe,Married,Manager
25,3,20,4,4,4,3,0,1,0,1,20711,Company Invited,Salaried,Female,Basic,Divorced,Executive
26,1,9,4,2,3,3,0,1,0,2,23884,Company Invited,Salaried,Male,Deluxe,Married,Manager
28,1,9,3,3,4,1,0,4,0,0,22655,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
25,1,30,3,3,3,3,1,4,0,2,21403,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
52,1,7,4,4,3,3,0,4,1,1,21401,Self Enquiry,Salaried,Male,Basic,Married,Executive
35,1,15,3,2,3,4,0,3,0,2,23082,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
22,1,25,4,4,3,3,0,3,1,2,21371,Self Enquiry,Salaried,Female,Basic,Unmarried,Executive
40,1,13,3,4,4,6,0,3,0,2,27054,Self Enquiry,Salaried,Fe Male,Standard,Unmarried,Senior Manager
43,1,9,3,4,3,7,1,2,0,2,21193,Company Invited,Small Business,Male,Basic,Single,Executive
30,1,22,4,6,3,2,1,5,1,1,20846,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
47,1,8,2,3,3,4,0,5,1,0,32169,Self Enquiry,Small Business,Female,Super Deluxe,Divorced,AVP
50,3,18,3,4,3,3,0,4,0,2,26332,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
32,3,9,3,4,3,3,1,1,1,1,28530,Company Invited,Salaried,Female,Standard,Married,Senior Manager
34,3,15,3,4,3,2,0,2,1,2,25782,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
41,1,23,3,5,3,8,0,5,1,2,23772,Company Invited,Small Business,Male,Deluxe,Unmarried,Manager
30,3,15,2,3,3,2,0,5,0,0,16081,Self Enquiry,Small Business,Male,Basic,Single,Executive
51,3,19,3,4,3,5,1,3,1,2,35558,Company Invited,Salaried,Male,Deluxe,Single,Manager
28,3,19,2,3,3,4,1,5,1,1,24854,Self Enquiry,Small Business,Fe Male,Deluxe,Unmarried,Manager
43,3,15,3,4,4,2,0,3,1,1,25503,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
30,1,35,4,4,3,6,0,5,1,1,21192,Self Enquiry,Salaried,Female,Basic,Married,Executive
33,1,11,4,5,3,3,0,4,1,1,24840,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
54,3,14,4,5,3,2,1,1,0,2,29612,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
32,3,11,2,3,4,2,0,3,1,1,21524,Company Invited,Salaried,Male,Deluxe,Married,Manager
39,3,17,4,4,3,3,0,4,0,3,24021,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
37,3,17,3,5,5,2,0,5,0,1,25772,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
24,1,33,3,4,3,3,0,2,1,2,21582,Self Enquiry,Salaried,Male,Basic,Married,Executive
36,3,18,3,4,3,3,0,5,0,1,23646,Company Invited,Small Business,Male,Deluxe,Married,Manager
36,1,32,3,3,3,7,0,3,1,0,20347,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
33,3,6,2,2,5,3,0,3,1,0,20376,Company Invited,Salaried,Female,Deluxe,Divorced,Manager
36,3,7,3,4,3,2,0,3,1,1,23395,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
59,1,9,3,4,3,4,0,3,0,0,17177,Self Enquiry,Salaried,Male,Basic,Married,Executive
51,3,35,3,5,5,6,1,5,0,1,29532,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
60,3,32,3,4,5,2,0,3,1,1,26315,Self Enquiry,Salaried,Fe Male,Standard,Unmarried,Senior Manager
43,1,35,3,5,3,2,0,3,0,1,23201,Company Invited,Large Business,Female,Deluxe,Divorced,Manager
44,1,28,4,4,3,2,0,4,0,3,20936,Company Invited,Small Business,Male,Basic,Divorced,Executive
45,3,35,3,2,3,5,1,2,1,2,31998,Self Enquiry,Small Business,Female,Super Deluxe,Divorced,AVP
29,1,24,4,4,5,3,0,2,0,1,23236,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
25,1,14,3,4,3,3,1,4,0,1,21564,Company Invited,Salaried,Female,Basic,Married,Executive
25,1,24,3,5,3,3,0,3,1,2,23055,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
42,1,14,3,3,3,2,0,5,1,1,33430,Company Invited,Salaried,Male,King,Married,VP
41,1,15,3,3,5,2,0,5,1,1,17289,Self Enquiry,Salaried,Male,Basic,Married,Executive
47,3,22,3,6,3,8,1,1,0,2,22101,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
53,1,8,2,1,4,5,0,1,1,0,31598,Self Enquiry,Small Business,Male,Super Deluxe,Single,AVP
35,3,22,3,3,4,1,0,1,1,1,23020,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
55,1,8,3,3,3,3,1,5,0,1,31659,Self Enquiry,Salaried,Female,Super Deluxe,Single,AVP
30,1,22,3,5,3,2,1,1,1,2,22871,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
30,1,8,2,5,3,3,0,2,0,1,21091,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
47,1,15,3,3,3,5,0,3,1,0,17105,Self Enquiry,Salaried,Female,Basic,Single,Executive
29,1,21,3,5,3,1,1,5,1,0,17168,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
28,1,15,3,3,3,6,0,3,1,1,17377,Self Enquiry,Small Business,Female,Basic,Married,Executive
26,1,13,2,4,5,1,1,4,1,1,17875,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
59,3,6,2,4,3,1,0,5,1,0,20473,Company Invited,Salaried,Female,Deluxe,Single,Manager
34,1,9,2,4,3,4,0,1,0,0,17979,Company Invited,Salaried,Male,Basic,Married,Executive
54,3,9,3,5,4,4,0,2,0,2,26203,Company Invited,Small Business,Female,Standard,Divorced,Senior Manager
44,2,6,2,4,3,5,0,5,1,1,20985,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
45,1,9,4,2,3,3,0,4,1,1,20689,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
47,1,7,4,4,5,2,0,2,0,1,28074,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
45,1,24,4,6,3,4,0,4,1,2,20968,Company Invited,Salaried,Male,Basic,Single,Executive
32,1,10,3,4,5,3,1,1,0,1,21743,Company Invited,Small Business,Male,Basic,Married,Executive
59,1,22,3,4,3,4,1,1,1,1,34465,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
55,1,20,3,1,4,1,0,1,1,1,33722,Self Enquiry,Small Business,Male,King,Single,VP
34,1,7,3,2,4,3,1,3,1,1,24166,Company Invited,Salaried,Female,Deluxe,Married,Manager
34,1,14,3,4,3,3,0,5,1,2,24646,Company Invited,Salaried,Male,Deluxe,Married,Manager
35,1,6,2,1,3,4,0,3,1,1,17506,Self Enquiry,Salaried,Female,Basic,Single,Executive
44,1,29,3,3,5,1,0,3,0,2,33213,Self Enquiry,Small Business,Male,Basic,Single,Executive
30,1,15,4,5,3,3,1,3,1,2,23734,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
38,3,16,3,3,3,2,0,4,0,2,20343,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
33,1,12,3,5,3,2,0,1,0,2,28357,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
29,2,23,2,4,5,2,0,3,0,0,22988,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
33,1,6,3,1,3,5,0,1,1,0,31184,Self Enquiry,Small Business,Female,Super Deluxe,Married,AVP
44,1,8,3,1,3,2,0,4,1,0,17011,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
46,3,16,4,4,5,6,1,2,1,1,29439,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
21,3,24,3,3,3,1,1,5,0,1,17625,Company Invited,Small Business,Female,Deluxe,Married,Manager
29,1,17,3,4,3,5,0,4,1,2,22338,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
60,3,13,2,1,3,1,1,5,0,0,20220,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
29,3,16,3,3,3,2,0,4,1,0,17642,Self Enquiry,Salaried,Male,Basic,Single,Executive
38,3,9,2,3,3,1,1,3,1,1,21861,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
35,3,24,3,3,5,2,0,4,1,0,24069,Company Invited,Salaried,Male,Standard,Divorced,Senior Manager
25,1,31,3,4,4,2,0,5,0,2,22275,Self Enquiry,Small Business,Male,Basic,Unmarried,Executive
34,3,17,3,2,3,2,1,4,1,2,27058,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
