Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation
24,1,6,3,3,3,3,1,3,0,2,17293,Self Enquiry,Small Business,Male,Basic,Married,Executive
49,1,13,2,4,3,1,0,1,1,0,25965,Self Enquiry,Salaried,Male,Standard,Unmarried,Senior Manager
38,1,6,2,2,3,1,0,2,1,1,22625,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
53,1,18,3,4,3,2,0,1,1,1,21827,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
35,1,9,4,2,3,2,1,1,0,2,21610,Self Enquiry,Small Business,Male,Basic,Married,Executive
27,3,30,3,5,3,2,1,1,0,1,22835,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
35,1,15,3,4,3,2,1,4,1,1,25685,Self Enquiry,Salaried,Female,Standard,Divorced,Senior Manager
28,1,15,3,6,3,3,0,2,1,2,23299,Company Invited,Salaried,Male,Basic,Divorced,Executive
34,1,7,3,4,5,1,0,1,0,0,20343,Company Invited,Small Business,Male,Deluxe,Single,Manager
54,3,7,3,4,5,2,0,1,1,2,27059,Self Enquiry,Small Business,Fe Male,Deluxe,Unmarried,Manager
22,1,21,2,3,3,2,0,1,1,1,17871,Self Enquiry,Small Business,Female,Basic,Single,Executive
39,1,10,3,4,3,5,0,3,1,2,21499,Company Invited,Salaried,Male,Basic,Divorced,Executive
32,1,16,1,3,3,3,0,1,0,0,26244,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
32,1,14,3,1,3,6,0,3,1,2,20175,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
37,3,7,4,4,3,8,0,1,1,2,25493,Self Enquiry,Salaried,Fe Male,Deluxe,Unmarried,Manager
37,3,9,4,4,3,5,1,3,0,1,21322,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
36,1,8,3,3,3,5,0,5,1,0,17519,Self Enquiry,Small Business,Male,Basic,Single,Executive
29,3,26,2,3,3,2,0,3,0,1,17157,Company Invited,Large Business,Female,Basic,Divorced,Executive
37,3,12,3,3,3,5,0,3,1,0,21502,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
50,1,6,3,3,3,1,0,5,0,2,32399,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
59,3,6,3,3,3,4,1,2,0,1,26904,Self Enquiry,Large Business,Male,Standard,Divorced,Senior Manager
39,2,9,2,2,4,1,0,2,1,0,21389,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
27,1,30,3,4,3,2,1,3,1,1,17534,Company Invited,Salaried,Male,Basic,Single,Executive
55,1,6,2,3,5,1,1,2,1,0,34045,Self Enquiry,Small Business,Male,King,Single,VP
50,1,23,4,4,5,6,1,1,1,2,21265,Self Enquiry,Small Business,Female,Basic,Married,Executive
27,2,32,4,4,3,3,0,4,1,2,21620,Self Enquiry,Salaried,Female,Basic,Married,Executive
29,1,13,2,3,3,4,1,4,1,1,18339,Self Enquiry,Large Business,Female,Basic,Married,Executive
38,3,11,3,4,3,6,0,4,1,1,21471,Company Invited,Small Business,Male,Basic,Married,Executive
51,1,6,3,3,3,2,0,4,1,0,17723,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
29,1,17,3,4,3,5,0,4,0,2,22338,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
31,3,13,2,4,3,1,0,3,1,0,26557,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
38,3,9,4,4,3,6,1,3,0,2,28280,Self Enquiry,Small Business,Male,Deluxe,Divorced,Manager
36,3,9,4,4,3,3,0,2,1,1,20692,Self Enquiry,Small Business,Female,Basic,Divorced,Executive
31,1,9,3,6,3,4,0,2,0,2,24769,Self Enquiry,Salaried,Fe Male,Deluxe,Unmarried,Manager
19,1,10,3,4,3,3,0,4,1,1,20098,Self Enquiry,Small Business,Male,Basic,Single,Executive
29,3,29,2,4,5,2,0,3,1,1,22336,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
36,1,8,3,3,3,5,0,5,1,1,17519,Self Enquiry,Small Business,Male,Basic,Single,Executive
46,1,12,3,6,5,3,1,3,1,1,24447,Self Enquiry,Small Business,Fe Male,Deluxe,Unmarried,Manager
38,1,8,3,1,5,7,1,1,0,0,20980,Company Invited,Salaried,Female,Deluxe,Single,Manager
36,1,29,2,1,3,5,0,3,0,0,17571,Company Invited,Small Business,Male,Deluxe,Married,Manager
23,1,10,3,5,3,2,1,3,0,1,21531,Company Invited,Salaried,Male,Basic,Divorced,Executive
45,3,8,3,3,3,5,0,1,1,2,20154,Company Invited,Salaried,Female,Deluxe,Married,Manager
47,3,8,3,4,3,2,1,2,1,0,18294,Self Enquiry,Salaried,Female,Basic,Single,Executive
36,1,8,3,3,3,5,0,5,1,0,17543,Self Enquiry,Salaried,Female,Basic,Married,Executive
53,3,13,3,4,3,1,1,1,0,1,25934,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
34,1,6,2,4,4,6,0,1,1,1,18294,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
28,3,17,4,5,3,3,1,3,1,3,24447,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
32,1,8,3,1,3,1,0,3,0,0,20055,Self Enquiry,Small Business,Female,Deluxe,Single,Manager
38,1,21,3,4,3,1,1,5,1,2,26510,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
19,1,9,3,3,4,2,0,3,1,0,16483,Self Enquiry,Small Business,Female,Basic,Single,Executive
38,1,16,3,3,3,1,0,5,0,2,17684,Company Invited,Small Business,Male,Basic,Divorced,Executive
34,3,7,3,2,5,3,0,4,0,1,22715,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
41,3,12,3,5,5,7,1,5,0,1,29153,Company Invited,Salaried,Male,Standard,Married,Senior Manager
59,1,12,3,5,4,4,1,5,1,2,29230,Self Enquiry,Large Business,Female,Standard,Married,Senior Manager
41,1,23,3,4,3,8,1,4,1,1,26623,Self Enquiry,Salaried,Fe Male,Standard,Unmarried,Senior Manager
41,3,6,3,3,3,1,1,2,1,0,20993,Self Enquiry,Salaried,Female,Deluxe,Single,Manager
42,1,8,2,3,3,6,1,1,1,1,17515,Company Invited,Small Business,Male,Basic,Single,Executive
30,1,9,2,3,3,5,0,3,1,0,17097,Company Invited,Salaried,Male,Basic,Married,Executive
50,3,15,3,5,4,8,0,4,1,2,31798,Self Enquiry,Large Business,Male,Super Deluxe,Married,AVP
41,1,7,3,4,4,5,0,1,1,2,21065,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
26,3,26,3,5,4,3,1,1,0,2,21091,Self Enquiry,Small Business,Male,Basic,Married,Executive
41,3,14,3,4,4,3,0,5,0,1,23339,Self Enquiry,Small Business,Male,Basic,Unmarried,Executive
39,1,16,3,3,3,1,0,3,1,0,28464,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
31,3,13,3,2,3,5,0,2,1,0,21929,Self Enquiry,Large Business,Male,Deluxe,Divorced,Manager
43,1,15,3,3,3,4,1,3,1,2,20679,Company Invited,Small Business,Male,Deluxe,Married,Manager
30,3,16,3,6,4,3,0,1,1,2,21438,Self Enquiry,Small Business,Female,Basic,Unmarried,Executive
23,3,15,2,3,5,2,0,5,1,0,16790,Company Invited,Small Business,Male,Basic,Married,Executive
28,1,15,3,2,3,2,0,4,0,1,22195,Self Enquiry,Small Business,Female,Basic,Married,Executive
45,1,15,4,2,3,4,1,3,1,3,21496,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
26,3,33,3,4,3,3,0,4,0,1,24858,Self Enquiry,Small Business,Fe Male,Deluxe,Unmarried,Manager
58,3,36,3,5,3,5,0,3,1,1,32796,Self Enquiry,Small Business,Male,Super Deluxe,Married,AVP
55,2,26,3,4,4,4,0,3,1,2,29403,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
44,1,15,3,4,4,6,0,3,1,1,23443,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
30,1,25,3,5,3,3,1,3,0,2,21067,Self Enquiry,Small Business,Male,Basic,Single,Executive
36,3,7,3,5,5,2,0,1,1,2,22990,Self Enquiry,Small Business,Male,Deluxe,Unmarried,Manager
28,1,7,3,5,5,7,0,3,0,2,22976,Company Invited,Large Business,Male,Deluxe,Divorced,Manager
36,1,24,3,3,3,3,0,3,1,0,22779,Company Invited,Salaried,Male,Deluxe,Unmarried,Manager
35,1,34,4,4,4,4,0,3,1,1,20989,Self Enquiry,Small Business,Female,Basic,Single,Executive
25,2,17,3,4,3,2,0,4,1,2,20823,Company Invited,Small Business,Male,Basic,Married,Executive
26,2,27,4,4,4,2,1,3,0,2,22347,Self Enquiry,Small Business,Female,Basic,Married,Executive
37,1,16,3,3,3,7,0,3,0,2,25048,Company Invited,Small Business,Male,Standard,Married,Senior Manager
34,1,25,3,3,3,1,0,3,0,0,17661,Self Enquiry,Small Business,Male,Basic,Married,Executive
45,3,12,2,4,3,7,0,4,1,0,23865,Company Invited,Small Business,Fe Male,Standard,Unmarried,Senior Manager
29,3,16,2,4,4,2,1,5,0,1,23268,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
29,1,15,2,3,3,1,0,5,1,1,17974,Self Enquiry,Small Business,Female,Basic,Married,Executive
57,1,16,3,4,3,2,0,4,0,1,29781,Self Enquiry,Small Business,Male,Super Deluxe,Divorced,AVP
28,1,17,3,4,5,3,0,3,0,2,27471,Company Invited,Salaried,Male,Standard,Married,Senior Manager
36,3,16,2,3,3,2,0,1,1,1,24980,Company Invited,Small Business,Male,Standard,Unmarried,Senior Manager
58,3,8,2,3,4,5,0,4,1,0,17705,Company Invited,Small Business,Male,Super Deluxe,Married,AVP
36,1,13,3,6,3,3,0,5,0,2,25324,Self Enquiry,Salaried,Male,Deluxe,Unmarried,Manager
34,1,32,3,5,4,6,1,4,1,1,20991,Self Enquiry,Small Business,Male,Basic,Single,Executive
37,3,9,3,4,3,5,0,4,1,2,23180,Self Enquiry,Salaried,Female,Deluxe,Unmarried,Manager
24,1,23,3,3,4,2,0,2,0,1,17210,Self Enquiry,Salaried,Female,Basic,Divorced,Executive
26,3,20,3,4,3,3,0,3,1,1,20774,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
33,3,18,3,2,3,2,0,3,1,1,23385,Company Invited,Salaried,Male,Deluxe,Married,Manager
23,1,10,2,2,5,3,0,4,0,1,17819,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
36,1,21,3,5,4,3,1,5,1,2,22421,Self Enquiry,Salaried,Male,Basic,Married,Executive
36,1,12,2,3,3,1,0,5,1,1,18210,Self Enquiry,Salaried,Male,Basic,Divorced,Executive
58,1,13,2,4,5,1,1,4,1,0,25008,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
43,1,13,2,2,3,5,0,4,0,1,17089,Company Invited,Small Business,Male,Basic,Married,Executive
42,1,24,2,3,5,7,1,1,0,0,20410,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
38,1,24,2,5,3,4,1,5,0,1,20811,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
36,1,7,4,6,3,3,0,3,0,2,21655,Self Enquiry,Salaried,Female,Basic,Married,Executive
32,1,11,2,1,3,4,1,1,0,1,17432,Company Invited,Salaried,Female,Basic,Single,Executive
32,3,6,2,3,3,2,0,5,1,0,25422,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
22,1,11,2,1,4,2,1,4,1,0,17328,Self Enquiry,Salaried,Male,Basic,Married,Executive
37,1,15,4,2,5,2,0,3,0,2,30391,Company Invited,Salaried,Female,Standard,Married,Senior Manager
25,1,16,3,5,4,3,0,5,1,1,21372,Company Invited,Salaried,Male,Basic,Married,Executive
46,3,10,2,4,4,3,0,5,1,0,33789,Self Enquiry,Small Business,Female,King,Divorced,VP
26,1,31,2,5,3,2,0,1,0,0,17293,Self Enquiry,Salaried,Male,Basic,Single,Executive
32,3,13,4,6,3,6,1,3,1,2,24850,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
38,3,16,3,4,3,1,1,3,1,1,23740,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
27,1,10,3,3,3,2,0,1,0,0,17318,Self Enquiry,Salaried,Female,Basic,Single,Executive
28,1,9,3,4,3,2,0,5,1,1,22905,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
32,1,30,3,3,3,2,0,4,1,0,20309,Company Invited,Salaried,Male,Deluxe,Divorced,Manager
46,3,16,3,4,3,3,1,1,0,0,24071,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
24,3,30,2,3,3,1,0,4,0,1,17400,Company Invited,Small Business,Male,Basic,Divorced,Executive
31,1,15,2,4,4,1,1,3,1,0,17657,Self Enquiry,Salaried,Male,Basic,Single,Executive
47,1,9,3,4,3,5,0,1,1,2,27256,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
25,3,31,3,4,3,2,0,4,1,2,21078,Company Invited,Small Business,Male,Basic,Married,Executive
22,1,17,3,5,5,3,0,3,1,1,20094,Self Enquiry,Salaried,Female,Basic,Single,Executive
37,1,10,2,4,4,6,0,4,1,1,20766,Company Invited,Small Business,Male,Basic,Single,Executive
40,3,16,2,4,4,1,0,5,1,0,21852,Self Enquiry,Large Business,Female,Deluxe,Married,Manager
53,1,32,3,5,3,5,0,5,0,2,32504,Company Invited,Small Business,Female,Super Deluxe,Married,AVP
38,3,8,2,3,4,1,0,4,1,0,22351,Self Enquiry,Small Business,Male,Standard,Unmarried,Senior Manager
32,1,8,2,4,5,5,0,4,0,1,17176,Self Enquiry,Large Business,Male,Deluxe,Single,Manager
31,3,11,3,3,3,2,0,1,0,2,20476,Self Enquiry,Salaried,Female,Deluxe,Married,Manager
25,3,11,2,4,3,2,1,3,0,1,20744,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
42,3,11,3,4,3,2,1,1,0,2,29125,Self Enquiry,Small Business,Female,Standard,Married,Senior Manager
60,3,7,4,4,3,5,1,1,1,1,30582,Self Enquiry,Large Business,Male,Standard,Married,Senior Manager
28,1,22,3,2,5,1,0,5,0,2,20661,Self Enquiry,Small Business,Male,Deluxe,Single,Manager
49,1,12,2,4,3,3,1,5,1,0,28966,Self Enquiry,Salaried,Female,Super Deluxe,Married,AVP
42,3,11,3,4,4,3,0,3,1,1,28033,Company Invited,Small Business,Male,Deluxe,Unmarried,Manager
29,3,9,3,4,4,3,1,3,1,1,23457,Self Enquiry,Small Business,Female,Deluxe,Divorced,Manager
40,3,13,3,2,3,4,0,4,1,2,26915,Self Enquiry,Small Business,Male,Standard,Married,Senior Manager
59,1,30,4,4,3,3,0,3,1,1,28990,Self Enquiry,Small Business,Female,Standard,Divorced,Senior Manager
28,1,11,4,4,3,3,0,1,0,1,20996,Self Enquiry,Salaried,Female,Basic,Single,Executive
28,1,16,3,4,4,3,0,3,1,1,20957,Self Enquiry,Small Business,Female,Basic,Single,Executive
34,1,20,3,4,3,5,0,3,1,1,22130,Self Enquiry,Salaried,Female,Basic,Unmarried,Executive
48,1,26,2,3,3,5,0,2,0,0,17259,Self Enquiry,Small Business,Male,Basic,Divorced,Executive
33,3,18,3,3,3,2,0,3,1,2,23385,Company Invited,Salaried,Male,Deluxe,Divorced,Manager
34,3,34,3,4,3,2,0,5,1,0,21712,Self Enquiry,Small Business,Female,Deluxe,Married,Manager
43,3,21,4,5,3,2,0,3,0,1,24922,Self Enquiry,Small Business,Fe Male,Deluxe,Unmarried,Manager
49,1,6,2,4,3,1,1,3,1,0,28964,Self Enquiry,Large Business,Female,Super Deluxe,Single,AVP
41,1,33,4,5,3,5,1,1,0,2,23100,Company Invited,Small Business,Female,Deluxe,Married,Manager
26,3,15,3,3,4,2,0,4,0,1,23529,Self Enquiry,Salaried,Male,Deluxe,Divorced,Manager
33,3,8,3,3,3,2,0,3,1,1,20505,Self Enquiry,Small Business,Male,Deluxe,Married,Manager
46,1,6,2,3,3,1,0,5,1,1,34627,Self Enquiry,Small Business,Male,King,Married,VP
58,1,21,2,3,3,3,1,1,1,0,30787,Company Invited,Salaried,Male,Super Deluxe,Married,AVP
37,1,12,3,4,5,6,0,4,1,2,26686,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
47,1,35,2,3,4,2,1,3,1,0,26849,Company Invited,Salaried,Male,Standard,Divorced,Senior Manager
30,1,14,4,5,3,8,0,5,1,2,21210,Self Enquiry,Small Business,Female,Basic,Married,Executive
38,1,18,2,4,5,3,0,5,1,0,21288,Company Invited,Salaried,Male,Deluxe,Married,Manager
30,3,17,3,4,3,3,0,4,0,1,21320,Self Enquiry,Salaried,Male,Basic,Unmarried,Executive
27,1,10,3,4,3,3,0,3,1,2,20739,Self Enquiry,Salaried,Female,Basic,Married,Executive
43,1,16,2,3,3,1,0,5,0,1,17455,Company Invited,Salaried,Female,Basic,Single,Executive
43,1,9,3,4,3,7,1,1,1,2,21193,Company Invited,Small Business,Male,Basic,Single,Executive
30,3,18,3,4,5,2,0,5,1,0,17033,Company Invited,Salaried,Male,Basic,Divorced,Executive
40,1,15,2,3,5,4,0,1,1,1,17018,Self Enquiry,Salaried,Male,Basic,Single,Executive
35,3,16,4,4,3,3,0,2,1,3,24392,Self Enquiry,Salaried,Female,Deluxe,Divorced,Manager
36,2,15,4,4,3,3,0,5,0,2,23001,Self Enquiry,Large Business,Male,Basic,Unmarried,Executive
36,1,34,3,5,5,3,0,4,0,2,21237,Self Enquiry,Small Business,Female,Basic,Single,Executive
44,3,34,2,1,3,4,1,1,1,0,28320,Self Enquiry,Small Business,Female,Super Deluxe,Married,AVP
24,3,16,3,4,5,3,0,5,1,1,20468,Company Invited,Small Business,Male,Basic,Married,Executive
29,1,28,3,4,3,3,0,1,0,1,21391,Self Enquiry,Small Business,Male,Basic,Married,Executive
33,3,20,4,4,3,4,0,1,0,3,23081,Self Enquiry,Salaried,Male,Deluxe,Married,Manager
60,2,13,3,4,3,2,0,4,0,1,20945,Self Enquiry,Small Business,Male,Basic,Married,Executive
28,3,18,4,2,3,2,0,3,1,2,21212,Self Enquiry,Small Business,Female,Basic,Divorced,Executive
46,2,11,3,6,3,6,0,1,1,2,28434,Self Enquiry,Salaried,Female,Standard,Married,Senior Manager
38,1,10,3,4,3,3,0,1,1,1,28112,Self Enquiry,Salaried,Male,Standard,Married,Senior Manager
20,1,12,3,4,3,2,1,1,0,0,17926,Company Invited,Salaried,Female,Basic,Single,Executive
35,1,31,3,3,4,2,1,3,0,0,17022,Company Invited,Salaried,Female,Basic,Married,Executive
38,1,29,2,4,3,1,0,3,0,0,24526,Company Invited,Salaried,Male,Standard,Unmarried,Senior Manager
29,1,24,3,5,3,7,0,3,0,2,21045,Self Enquiry,Large Business,Male,Basic,Married,Executive
36,1,17,3,4,3,3,0,5,1,1,22595,Self Enquiry,Salaried,Male,Basic,Married,Executive
36,1,17,3,4,3,3,0,5,0,1,22595,Self Enquiry,Salaried,Male,Basic,Married,Executive
45,1,31,3,4,3,5,1,5,0,2,21839,Company Invited,Salaried,Male,Basic,Married,Executive
